Player,Nation,Pos,Age,Playing Time_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,Matches
Fernando Miguel,br BRA,GK,38-295,5,450.0,90.0,14.7,5.0,5,90.0,5,0,,20,1.8,10.0,5.0,5.0,1.0,1.24,12.1,6.2,5.9,1.18,1.15,Matches
Moises,br BRA,"MF,FW",27-083,6,367.0,61.0,12.0,4.1,5,69.0,0,1,20.0,0,1.83,8.0,5.0,3.0,0.74,0.9,8.9,4.0,4.9,1.21,1.15,Matches
Luis Eduardo Marques dos Santos,br BRA,DF,26-178,7,385.0,55.0,12.6,4.3,4,80.0,1,3,22.0,22,0.29,1.0,3.0,-2.0,-0.47,-0.47,3.7,4.6,-0.9,-0.21,-0.47,Matches
Tobias Figueiredo,pt POR,DF,29-295,4,343.0,86.0,11.2,3.8,4,86.0,3,0,,9,0.25,2.0,7.0,-5.0,-1.31,-1.41,3.4,5.5,-2.1,-0.55,-0.84,Matches
Silvio Romero,ar ARG,FW,35-125,17,398.0,23.0,13.0,4.4,3,66.0,0,14,14.0,17,1.41,6.0,3.0,3.0,0.68,0.85,7.4,4.5,3.0,0.67,0.54,Matches
Romarinho,br BRA,"FW,MF",29-268,11,288.0,26.0,9.4,3.2,2,66.0,1,9,17.0,11,0.91,2.0,4.0,-2.0,-0.62,-0.62,4.6,4.6,0.0,0.0,-0.22,Matches
Brayan Ceballos,co COL,DF,22-184,3,206.0,69.0,6.7,2.3,2,90.0,2,1,26.0,6,0.67,1.0,2.0,-1.0,-0.44,-0.41,2.0,2.1,-0.1,-0.05,-0.27,Matches
Maurício Kozlinski,br BRA,GK,32-159,1,90.0,90.0,2.9,1.0,1,90.0,1,0,,14,1.0,0.0,0.0,0.0,0.0,0.06,0.8,0.8,0.0,0.04,-0.16,Matches
Vinícius Zanocelo,br BRA,"MF,FW",22-298,6,81.0,14.0,2.6,0.9,0,,0,6,14.0,12,1.17,3.0,1.0,2.0,2.22,2.34,1.7,1.1,0.5,0.59,0.4,Matches
Pedro Rocha Neves,br BRA,FW,29-055,2,33.0,17.0,1.1,0.4,0,,0,2,17.0,4,0.5,0.0,0.0,0.0,0.0,0.06,0.5,0.2,0.2,0.63,0.44,Matches
Kauan,br BRA,FW,18-222,1,11.0,11.0,0.4,0.1,0,,0,1,11.0,3,0.0,0.0,1.0,-1.0,-8.18,-8.15,0.2,0.8,-0.6,-5.18,-5.4,Matches
Amorim,br BRA,MF,18-190,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
Bruno,br BRA,GK,21-169,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Lucas Esteves,br BRA,"DF,MF",23-153,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
Sammuel,br BRA,DF,21-338,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
Bernardo Schappo,br BRA,DF,24-247,0,,,,,0,,0,0,,12,,,,,,,,,,,,Matches
Alix Vinicius,br BRA,DF,24-018,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
Squad Total,,,30.5,34,3060.0,90.0,100.0,34.0,374,81.0,212,164,19.0,242,1.29,38.0,40.0,-2.0,-0.06,,46.6,39.9,6.7,0.2,,
Opponent Total,,,28.1,34,3060.0,90.0,100.0,34.0,374,81.0,207,166,26.0,237,1.47,40.0,38.0,2.0,0.06,,39.9,46.6,-6.7,-0.2,,
