Player,Nation,Pos,Age,Playing Time_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,Matches
Jori,br BRA,GK,27-254,7,630.0,90.0,20.6,7.0,7,90.0,7,0,,3,0.43,9.0,15.0,-6.0,-0.86,0.11,8.6,11.3,-2.7,-0.38,-0.2,Matches
Daniel Borges,br BRA,DF,30-246,11,602.0,55.0,19.7,6.7,6,80.0,2,5,25.0,4,0.55,5.0,15.0,-10.0,-1.5,-0.69,6.8,10.4,-3.6,-0.53,-0.38,Matches
Mateus Henrique,br BRA,DF,21-053,11,475.0,43.0,15.5,5.3,6,63.0,0,5,20.0,10,0.82,8.0,8.0,0.0,0.0,1.11,7.7,6.8,0.9,0.17,0.47,Matches
Wanderson,br BRA,DF,32-290,7,500.0,71.0,16.3,5.6,5,90.0,5,2,25.0,6,1.14,7.0,9.0,-2.0,-0.36,0.69,5.9,8.0,-2.1,-0.37,-0.17,Matches
Rodrigo Varanda,br BRA,"FW,MF",20-317,12,516.0,43.0,16.9,5.7,4,70.0,1,8,30.0,3,0.83,10.0,10.0,0.0,0.0,1.13,9.7,7.5,2.2,0.38,0.74,Matches
Pedrinho,br BRA,"FW,MF",24-014,8,411.0,51.0,13.4,4.6,4,80.0,1,4,23.0,2,0.25,3.0,11.0,-8.0,-1.75,-0.94,4.5,6.6,-2.1,-0.46,-0.27,Matches
Esteban Burgos,ar ARG,DF,31-319,4,294.0,74.0,9.6,3.3,4,74.0,2,0,,5,0.4,4.0,8.0,-4.0,-1.22,-0.31,3.5,3.1,0.5,0.14,0.41,Matches
Renato Marques,br BRA,"FW,MF",19-350,8,287.0,36.0,9.4,3.2,2,53.0,0,6,30.0,6,1.0,7.0,9.0,-2.0,-0.63,0.35,4.4,5.5,-1.1,-0.34,-0.12,Matches
Óscar Méndez,uy URU,MF,28-354,7,260.0,37.0,8.5,2.9,2,74.0,0,5,22.0,8,0.71,2.0,8.0,-6.0,-2.08,-1.24,2.0,4.3,-2.4,-0.82,-0.65,Matches
Júlio César,br BRA,DF,20-057,5,248.0,50.0,8.1,2.8,2,88.0,1,3,24.0,14,1.4,3.0,3.0,0.0,0.0,1.02,4.1,3.9,0.1,0.05,0.31,Matches
Matheusinho,br BRA,"MF,FW",25-286,7,229.0,33.0,7.5,2.5,2,65.0,0,5,20.0,1,0.14,3.0,8.0,-5.0,-1.97,-1.11,3.8,4.5,-0.8,-0.3,-0.07,Matches
Nino Paraíba,br BRA,DF,37-318,4,197.0,49.0,6.4,2.2,2,80.0,1,2,19.0,0,0.0,0.0,6.0,-6.0,-2.74,-1.92,2.5,4.9,-2.4,-1.1,-0.93,Matches
Washington Aguerre,uy URU,GK,30-215,2,180.0,90.0,5.9,2.0,2,90.0,2,0,,7,0.5,3.0,4.0,-1.0,-0.5,0.47,2.4,2.7,-0.3,-0.16,0.07,Matches
Henrique Almeida,br BRA,FW,32-181,4,156.0,39.0,5.1,1.7,2,62.0,0,2,17.0,3,0.75,3.0,5.0,-2.0,-1.15,-0.22,2.1,5.3,-3.3,-1.88,-1.74,Matches
Paulinho,br BRA,FW,25-151,3,136.0,45.0,4.4,1.5,2,59.0,0,1,19.0,3,0.33,1.0,3.0,-2.0,-1.32,-0.4,1.9,3.2,-1.3,-0.86,-0.67,Matches
Juan Cazares,ec ECU,"MF,FW",31-235,12,283.0,24.0,9.2,3.1,1,70.0,0,11,19.0,1,0.67,5.0,6.0,-1.0,-0.32,0.69,5.7,5.5,0.2,0.06,0.32,Matches
Mikael,br BRA,FW,24-180,5,153.0,31.0,5.0,1.7,1,61.0,0,4,23.0,7,0.2,1.0,4.0,-3.0,-1.76,-0.87,3.1,2.7,0.3,0.2,0.45,Matches
Arthur,br BRA,DF,20-252,1,90.0,90.0,2.9,1.0,1,90.0,1,0,,0,0.0,2.0,3.0,-1.0,-1.0,-0.06,1.8,1.8,0.0,-0.01,0.22,Matches
Wellington Paulista,br BRA,FW,39-216,10,227.0,23.0,7.4,2.5,0,,0,10,23.0,21,0.2,2.0,8.0,-6.0,-2.38,-1.55,4.0,4.0,0.0,-0.01,0.23,Matches
Adyson,br BRA,"FW,MF",18-063,5,126.0,25.0,4.1,1.4,0,,0,5,25.0,5,0.0,0.0,5.0,-5.0,-3.57,-2.74,1.7,2.0,-0.2,-0.16,0.07,Matches
Mateus Gonçalves Martins,br BRA,"MF,FW",29-057,3,65.0,22.0,2.1,0.7,0,,0,3,22.0,1,0.0,0.0,4.0,-4.0,-5.54,-4.7,0.2,0.7,-0.5,-0.66,-0.44,Matches
Renato Kayser,br BRA,"FW,MF",27-280,3,39.0,13.0,1.3,0.4,0,,0,3,13.0,5,1.0,0.0,0.0,0.0,0.0,0.95,0.8,0.7,0.1,0.21,0.44,Matches
Rafael Barcelos,br BRA,DF,19-303,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Adailson Dadá,br BRA,MF,26-289,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Paulinho,br BRA,MF,19-148,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Robson,br BRA,GK,23-138,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Squad Total,,,30.2,34,3060.0,90.0,100.0,34.0,374,79.0,201,168,23.0,237,0.62,39.0,71.0,-32.0,-0.94,,44.2,51.9,-7.7,-0.23,,
Opponent Total,,,28.4,34,3060.0,90.0,100.0,34.0,374,79.0,216,157,22.0,249,2.12,71.0,39.0,32.0,0.94,,51.9,44.2,7.7,0.23,,
