Player,Nation,Pos,Age,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Matches
Esteban Burgos,ar ARG,DF,31-319,4,4,294.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Renato Marques,br BRA,"FW,MF",19-350,8,2,287.0,3.2,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.2,0.2,0.6,0.8,6.0,5.0,13.0,0.31,0.31,0.63,0.31,0.63,0.06,0.19,0.25,0.06,0.25,Matches
Óscar Méndez,uy URU,MF,28-354,7,2,260.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Júlio César,br BRA,DF,20-057,5,2,248.0,2.8,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,2.0,12.0,1.0,0.0,0.36,0.36,0.0,0.36,0.07,0.02,0.08,0.07,0.08,Matches
Matheusinho,br BRA,"MF,FW",25-286,7,2,229.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.4,1.0,2.0,14.0,23.0,0.0,0.0,0.0,0.0,0.0,0.23,0.15,0.38,0.23,0.38,Matches
Nino Paraíba,br BRA,DF,37-318,4,2,197.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.5,0.5,4.0,19.0,19.0,0.0,0.0,0.0,0.0,0.0,0.03,0.22,0.24,0.03,0.24,Matches
Washington Aguerre,uy URU,GK,30-215,2,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Henrique Almeida,br BRA,FW,32-181,4,2,156.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.3,0.7,1.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.22,0.2,0.42,0.22,0.42,Matches
Paulinho,br BRA,FW,25-151,3,2,136.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.3,0.3,4.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.01,0.21,0.22,0.01,0.22,Matches
Juan Cazares,ec ECU,"MF,FW",31-235,12,1,283.0,3.1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,1.1,1.3,5.0,18.0,23.0,0.0,0.32,0.32,0.0,0.32,0.09,0.34,0.42,0.09,0.42,Matches
Mikael,br BRA,FW,24-180,5,1,153.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.2,1.0,7.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.47,0.12,0.6,0.47,0.6,Matches
Arthur,br BRA,DF,20-252,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.04,Matches
Wellington Paulista,br BRA,FW,39-216,10,0,227.0,2.5,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.9,1.0,0.1,1.0,2.0,5.0,5.0,0.4,0.0,0.4,0.4,0.4,0.77,0.02,0.79,0.39,0.41,Matches
Adyson,br BRA,"FW,MF",18-063,5,0,126.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.3,0.3,9.0,8.0,20.0,0.0,0.0,0.0,0.0,0.0,0.05,0.2,0.25,0.05,0.25,Matches
Mateus Gonçalves Martins,br BRA,"MF,FW",29-057,3,0,65.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Renato Kayser,br BRA,"FW,MF",27-280,3,0,39.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.1,0.4,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.84,0.12,0.97,0.84,0.97,Matches
Rafael Barcelos,br BRA,DF,19-303,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Adailson Dadá,br BRA,MF,26-289,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Paulinho,br BRA,MF,19-148,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Robson,br BRA,GK,23-138,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Squad Total,,,30.2,34,374,3060.0,34.0,39.0,27.0,66.0,35.0,4.0,6.0,79.0,9.0,44.2,39.6,32.0,71.6,574.0,1228.0,1212.0,1.15,0.79,1.94,1.03,1.82,1.3,0.94,2.24,1.17,2.11,
Opponent Total,,,28.4,34,374,3060.0,34.0,69.0,50.0,119.0,65.0,4.0,7.0,68.0,5.0,51.9,46.3,36.2,82.5,778.0,1543.0,1526.0,2.03,1.47,3.5,1.91,3.38,1.53,1.06,2.59,1.36,2.43,
