Player,Nation,Pos,Age,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Matches
Diogo Batista,br BRA,"DF,MF",20-087,9,4,427.0,4.7,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.6,0.8,8.0,15.0,13.0,0.0,0.21,0.21,0.0,0.21,0.04,0.13,0.16,0.04,0.16,Matches
Andreas Samaris,gr GRE,MF,34-164,4,4,183.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.1,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.04,0.03,0.04,Matches
Maurício Garcez,br BRA,"MF,FW",26-253,12,3,486.0,5.4,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.2,1.2,0.3,1.5,11.0,9.0,28.0,0.19,0.0,0.19,0.19,0.19,0.22,0.06,0.27,0.22,0.27,Matches
Gabriel Boschilia,br BRA,"MF,FW",27-264,11,3,344.0,3.8,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.1,1.1,0.8,1.9,10.0,18.0,20.0,0.26,0.26,0.52,0.26,0.52,0.29,0.21,0.5,0.29,0.5,Matches
Jhon Chancellor,ve VEN,DF,31-326,4,3,303.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,Matches
Hayner,br BRA,DF,28-053,7,3,299.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.3,0.3,14.0,13.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.09,0.0,0.09,Matches
Luan Polli,br BRA,GK,30-232,4,3,295.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Matches
Júnior Urso,br BRA,MF,34-259,6,2,298.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.3,0.3,0.1,0.4,4.0,13.0,4.0,0.0,0.0,0.0,0.0,0.0,0.09,0.03,0.13,0.09,0.13,Matches
Reynaldo Cesar Moraes,br BRA,DF,26-325,4,1,189.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Edu,br BRA,"FW,MF",30-264,7,1,184.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.8,1.8,0.4,2.2,3.0,3.0,10.0,0.49,0.0,0.49,0.49,0.49,0.87,0.2,1.07,0.87,1.07,Matches
Marcos Vinicius,br BRA,"DF,MF",26-243,5,1,173.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3,0.3,3.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.15,0.0,0.15,Matches
William Pottker,br BRA,"FW,MF",29-337,4,1,116.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.1,0.2,4.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.12,0.05,0.17,0.12,0.17,Matches
Maurício Antônio,br BRA,DF,31-291,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,Matches
Gustavo Vilar,br BRA,DF,23-220,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Lucas Barbosa,br BRA,"MF,FW",22-275,5,0,102.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.3,1.0,4.0,10.0,0.0,0.0,0.0,0.0,0.0,0.11,0.16,0.27,0.11,0.27,Matches
Jesé,es ESP,MF,30-271,5,0,83.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,2.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.19,0.04,0.22,0.19,0.22,Matches
Wesley Pombo,br BRA,MF,21-175,1,0,50.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.11,0.0,0.11,Matches
Ruan Lucas,br BRA,"MF,FW",19-218,4,0,29.0,0.3,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,2.0,4.0,0.0,3.1,3.1,0.0,3.1,0.09,1.11,1.21,0.09,1.21,Matches
Gabriel Silva,br BRA,MF,21-144,1,0,5.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Matheus Cadorini,br BRA,FW,21-084,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Jean Gabriel,br BRA,MF,20-282,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Bernardo Lemes,br BRA,MF,21-320,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Pedro Luccas,br BRA,GK,19-318,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Marcao,br BRA,GK,23-219,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Lucas Ronier,br BRA,FW,18-363,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Jesús Trindade,uy URU,MF,30-137,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Squad Total,,,28.3,34,374,3060.0,34.0,38.0,23.0,61.0,30.0,8.0,9.0,116.0,4.0,35.8,28.8,22.9,51.7,495.0,1031.0,1020.0,1.12,0.68,1.79,0.88,1.56,1.05,0.67,1.73,0.85,1.52,
Opponent Total,,,28.4,34,374,3060.0,34.0,65.0,40.0,105.0,57.0,8.0,9.0,90.0,3.0,54.0,46.9,33.1,80.0,568.0,1466.0,1455.0,1.91,1.18,3.09,1.68,2.85,1.59,0.97,2.56,1.38,2.35,
