Player,Nation,Pos,Age,Playing Time_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,Matches
Liziero,br BRA,MF,25-290,10,586.0,59.0,19.2,6.5,8,70.0,2,2,15.0,2,0.3,6.0,11.0,-5.0,-0.77,0.07,5.1,9.0,-3.9,-0.61,-0.09,Matches
Diogo,br BRA,"FW,MF",26-355,13,641.0,49.0,20.9,7.1,7,67.0,1,6,28.0,1,1.15,10.0,14.0,-4.0,-0.56,0.33,6.3,9.6,-3.3,-0.47,0.08,Matches
Thalisson Gabriel,br BRA,DF,21-308,7,630.0,90.0,20.6,7.0,7,90.0,7,0,,2,1.29,9.0,11.0,-2.0,-0.29,0.68,8.1,7.9,0.2,0.03,0.72,Matches
Zé Roberto,br BRA,"FW,MF",30-071,10,523.0,52.0,17.1,5.8,7,65.0,0,3,22.0,2,0.5,7.0,10.0,-3.0,-0.52,0.37,5.4,8.4,-3.0,-0.52,0.02,Matches
Kaio,br BRA,"MF,FW",19-282,21,644.0,31.0,21.0,7.2,6,55.0,0,15,21.0,4,0.95,7.0,19.0,-12.0,-1.68,-1.08,7.1,14.2,-7.0,-0.98,-0.57,Matches
Jean Pedroso,br BRA,DF,19-300,7,584.0,83.0,19.1,6.5,6,90.0,5,1,45.0,12,0.71,4.0,12.0,-8.0,-1.23,-0.51,7.7,9.0,-1.2,-0.19,0.42,Matches
Thiago Dombroski,br BRA,DF,21-157,6,459.0,77.0,15.0,5.1,6,77.0,2,0,,2,0.83,6.0,11.0,-5.0,-0.98,-0.18,5.3,10.7,-5.4,-1.06,-0.62,Matches
Rodrigo Pinho,br BRA,FW,32-178,10,385.0,39.0,12.6,4.3,5,53.0,0,5,24.0,7,1.1,3.0,10.0,-7.0,-1.64,-0.93,5.0,8.2,-3.2,-0.76,-0.26,Matches
Fransérgio,br BRA,MF,33-037,15,534.0,36.0,17.5,5.9,4,61.0,0,11,26.0,6,1.07,8.0,14.0,-6.0,-1.01,-0.23,8.8,12.4,-3.7,-0.62,-0.11,Matches
Diogo Batista,br BRA,"DF,MF",20-087,9,427.0,47.0,14.0,4.7,4,71.0,2,5,29.0,7,1.11,6.0,8.0,-2.0,-0.42,0.47,6.6,7.8,-1.2,-0.25,0.33,Matches
Andreas Samaris,gr GRE,MF,34-164,4,183.0,46.0,6.0,2.0,4,46.0,0,0,,6,0.0,2.0,10.0,-8.0,-3.93,-3.31,1.5,6.3,-4.9,-2.39,-1.98,Matches
Maurício Garcez,br BRA,"MF,FW",26-253,12,486.0,41.0,15.9,5.4,3,77.0,0,9,28.0,6,1.0,7.0,8.0,-1.0,-0.19,0.76,7.7,6.3,1.3,0.25,0.93,Matches
Gabriel Boschilia,br BRA,"MF,FW",27-264,11,344.0,31.0,11.2,3.8,3,64.0,0,8,19.0,3,0.73,3.0,11.0,-8.0,-2.09,-1.43,3.4,7.0,-3.6,-0.93,-0.45,Matches
Jhon Chancellor,ve VEN,DF,31-326,4,303.0,76.0,9.9,3.4,3,90.0,2,1,34.0,1,0.25,3.0,9.0,-6.0,-1.78,-1.06,1.9,6.3,-4.4,-1.3,-0.85,Matches
Hayner,br BRA,DF,28-053,7,299.0,43.0,9.8,3.3,3,67.0,0,4,24.0,2,0.86,4.0,11.0,-7.0,-2.11,-1.42,3.6,8.7,-5.1,-1.55,-1.12,Matches
Luan Polli,br BRA,GK,30-232,4,295.0,74.0,9.6,3.3,3,90.0,3,1,25.0,28,1.2,9.0,8.0,1.0,0.31,1.25,5.1,6.5,-1.4,-0.42,0.12,Matches
Júnior Urso,br BRA,MF,34-259,6,298.0,50.0,9.7,3.3,2,74.0,1,4,38.0,0,0.33,1.0,6.0,-5.0,-1.51,-0.76,2.5,6.3,-3.7,-1.13,-0.66,Matches
Reynaldo Cesar Moraes,br BRA,DF,26-325,4,189.0,47.0,6.2,2.1,1,90.0,1,3,33.0,7,1.5,3.0,5.0,-2.0,-0.95,-0.14,2.7,5.4,-2.7,-1.3,-0.81,Matches
Edu,br BRA,"FW,MF",30-264,7,184.0,26.0,6.0,2.0,1,62.0,0,6,20.0,8,0.57,2.0,4.0,-2.0,-0.98,-0.16,3.6,3.2,0.5,0.22,0.8,Matches
Marcos Vinicius,br BRA,"DF,MF",26-243,5,173.0,35.0,5.7,1.9,1,90.0,1,4,21.0,6,0.6,2.0,6.0,-4.0,-2.08,-1.33,1.2,6.6,-5.5,-2.83,-2.43,Matches
William Pottker,br BRA,"FW,MF",29-337,4,116.0,29.0,3.8,1.3,1,53.0,0,3,21.0,2,0.5,0.0,4.0,-4.0,-3.1,-2.37,0.6,2.1,-1.5,-1.14,-0.63,Matches
Maurício Antônio,br BRA,DF,31-291,1,90.0,90.0,2.9,1.0,1,90.0,1,0,,2,0.0,1.0,2.0,-1.0,-1.0,-0.18,0.8,1.6,-0.9,-0.86,-0.33,Matches
Gustavo Vilar,br BRA,DF,23-220,1,90.0,90.0,2.9,1.0,1,90.0,1,0,,8,0.0,0.0,3.0,-3.0,-3.0,-2.24,0.7,2.6,-1.9,-1.88,-1.38,Matches
Lucas Barbosa,br BRA,"MF,FW",22-275,5,102.0,20.0,3.3,1.1,0,,0,5,20.0,7,0.0,0.0,3.0,-3.0,-2.65,-1.89,2.6,0.7,1.9,1.68,2.29,Matches
Jesé,es ESP,MF,30-271,5,83.0,17.0,2.7,0.9,0,,0,5,17.0,7,0.0,1.0,5.0,-4.0,-4.34,-3.61,0.8,2.4,-1.6,-1.7,-1.2,Matches
Wesley Pombo,br BRA,MF,21-175,1,50.0,50.0,1.6,0.6,0,,0,1,50.0,5,1.0,1.0,0.0,1.0,1.8,2.67,0.9,0.6,0.3,0.62,1.17,Matches
Ruan Lucas,br BRA,"MF,FW",19-218,4,29.0,7.0,0.9,0.3,0,,0,4,7.0,6,0.25,1.0,0.0,1.0,3.1,3.96,0.7,0.4,0.3,0.98,1.53,Matches
Gabriel Silva,br BRA,MF,21-144,1,5.0,5.0,0.2,0.1,0,,0,1,5.0,12,3.0,1.0,1.0,0.0,0.0,0.82,1.0,1.1,-0.1,-1.59,-1.05,Matches
Matheus Cadorini,br BRA,FW,21-084,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
Jean Gabriel,br BRA,MF,20-282,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
Bernardo Lemes,br BRA,MF,21-320,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Pedro Luccas,br BRA,GK,19-318,0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches
Marcao,br BRA,GK,23-219,0,,,,,0,,0,0,,7,,,,,,,,,,,,Matches
Lucas Ronier,br BRA,FW,18-363,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Jesús Trindade,uy URU,MF,30-137,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
Squad Total,,,28.3,34,3060.0,90.0,100.0,34.0,374,79.0,207,166,24.0,234,0.85,39.0,67.0,-28.0,-0.82,,35.8,54.0,-18.2,-0.53,,
Opponent Total,,,28.4,34,3060.0,90.0,100.0,34.0,374,79.0,207,165,23.0,238,2.0,67.0,39.0,28.0,0.82,,54.0,35.8,18.2,0.53,,
